id,left,top,right,bottom,fid,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,ROAD_BT_me,ROAD_LT_me,BSI_INT_mi,BSI_INT_ma,trafficlig,children,intersecti,SOILSLOPE
140,1115112.560800000093877,1669998.551999999908730,1115412.560800000093877,1669698.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
328,1115412.560800000093877,1669998.551999999908730,1115712.560800000093877,1669698.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,30-60%
329,1115412.560800000093877,1669698.552000000141561,1115712.560800000093877,1669398.551999999908730,14,"26440",강서구,"33","26440","116",20.000000,32924.000000,"20","20",0.000000000000000,0.000000000000000,0.000000000000000,15-30%
330,1115412.560800000093877,1669398.551999999908730,1115712.560800000093877,1669098.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,15-30%
516,1115712.560800000093877,1669998.551999999908730,1116012.560800000093877,1669698.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,30-60%
517,1115712.560800000093877,1669698.552000000141561,1116012.560800000093877,1669398.551999999908730,14,"26440",강서구,"33","26440","116",20.000000,32924.000000,"20","20",0.000000000000000,0.000000000000000,0.000000000000000,"0"
518,1115712.560800000093877,1669398.551999999908730,1116012.560800000093877,1669098.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
705,1116012.560800000093877,1669698.552000000141561,1116312.560800000093877,1669398.551999999908730,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
706,1116012.560800000093877,1669398.551999999908730,1116312.560800000093877,1669098.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
893,1116312.560800000093877,1669698.552000000141561,1116612.560800000093877,1669398.551999999908730,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,30-60%
894,1116312.560800000093877,1669398.551999999908730,1116612.560800000093877,1669098.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
1625,1117512.560800000093877,1675698.552000000141561,1117812.560800000093877,1675398.551999999908730,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
1626,1117512.560800000093877,1675398.551999999908730,1117812.560800000093877,1675098.552000000141561,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
1627,1117512.560800000093877,1675098.552000000141561,1117812.560800000093877,1674798.551999999908730,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
1779,1117812.560800000093877,1685898.552000000141561,1118112.560800000093877,1685598.551999999908730,14,"26440",강서구,"33","26440","116",0.000000,,,,0.000000000000000,0.000000000000000,0.000000000000000,"0"
