번호,과속방지턱관리번호,도로명,시도명,시군구명,소재지도로명주소,소재지지번주소,설치장소,과속방지턱재료,과속방지턱형태구분,과속방지턱높이,과속방지턱폭,과속방지턱연장,도로유형구분,규격여부,WGS84위도,WGS84경도,보차분리여부,연속형여부,과속방지턱설치연도,관리기관명,관리기관전화번호,데이터기준일자
1,109,하나길,부산광역시,영도구,부산광역시 영도구 하나길 689,부산광역시 영도구 봉래동5가 152-8,오래 식육점 앞(하나길 689),아스팔트 콘크리트,가상형,0,6.3,2.4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
2,110,봉래쉼터길,부산광역시,영도구,부산광역시 영도구 봉래쉼터길 37,부산광역시 영도구 봉래동5가 100-1,제 4 영도교회 앞,아스팔트 콘크리트,원호형,8,7,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
3,111,봉래쉼터길,부산광역시,영도구,부산광역시 영도구 봉래쉼터길 37,부산광역시 영도구 봉래동5가 100-1,제 4 영도교회 앞,아스팔트 콘크리트,가상형,0,8,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
4,112,동백꽃길,부산광역시,영도구,부산광역시 영도구 동백꽃길 7-95,부산광역시 영도구 봉래동4가 181-16,동백꽃길 7-95,아스팔트 콘크리트,가상형,0,6.2,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
5,113,동백꽃길,부산광역시,영도구,부산광역시 영도구 동백꽃길 7-95,부산광역시 영도구 봉래동4가 181-16,동백꽃길 7-95,아스팔트 콘크리트,가상형,0,8.2,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
6,114,동백꽃길,부산광역시,영도구,부산광역시 영도구 봉래길 135,부산광역시 영도구 봉래동5가 169-25,봉래길 135,아스팔트 콘크리트,가상형,0,6,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
7,115,봉래길,부산광역시,영도구,부산광역시 영도구 봉래길 87,부산광역시 영도구 봉래동5가 156-15,봉래길 87,아스팔트 콘크리트,원호형,10,5.4,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
8,116,봉래길,부산광역시,영도구,부산광역시 영도구 봉래길 103,부산광역시 영도구 봉래동5가 141-8,봉래슈퍼 앞(봉래길 103),아스팔트 콘크리트,가상형,0,5.4,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
9,117,봉래길,부산광역시,영도구,부산광역시 영도구 봉래길 127,부산광역시 영도구 봉래동5가 129-2,중앙미용실 앞(봉래길 127),아스팔트 콘크리트,가상형,0,5.3,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
10,118,봉래길,부산광역시,영도구,부산광역시 영도구 봉래길 172,부산광역시 영도구 봉래동5가 177-1,삼신아파트 입구 앞,아스팔트 콘크리트,원호형,10,5.8,3.3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
11,119,봉래길,부산광역시,영도구,부산광역시 영도구 봉래길 368,부산광역시 영도구 청학동 420-32,봉래길 368 앞,아스팔트 콘크리트,원호형,10,6,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
12,120,봉래길 77,부산광역시,영도구,부산광역시 영도구 봉래길 77,부산광역시 영도구 봉래동5가 156-49,봉래길 77 앞,아스팔트 콘크리트,가상형,0,5.3,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
13,121,봉래길 77,부산광역시,영도구,부산광역시 영도구 봉래길 77,부산광역시 영도구 봉래동5가 156-49,봉래길 77 앞,아스팔트 콘크리트,원호형,10,5.4,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
14,122,봉래길 35,부산광역시,영도구,부산광역시 영도구 봉래길 35,부산광역시 영도구 봉래동4가 178,우리농산물직매장 앞(봉래길 35),아스팔트 콘크리트,원호형,10,5.6,3.7,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
15,123,중복길,부산광역시,영도구,부산광역시 영도구 중복길 209,부산광역시 영도구 신선동2가 142-5,중복길 209,아스팔트 콘크리트,가상형,0,5.2,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
16,124,중복길,부산광역시,영도구,부산광역시 영도구 중복길 370,부산광역시 영도구 신선동2가 148-1,오구건축 앞(중복길 370),아스팔트 콘크리트,원호형,10,5,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
17,125,금잔디길,부산광역시,영도구,부산광역시 영도구 금잔디길 54,부산광역시 영도구 신선동2가 149,신선 어린이집 앞,아스팔트 콘크리트,원호형,10,5,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
18,126,중복길,부산광역시,영도구,부산광역시 영도구 중복길 139,부산광역시 영도구 신선동2가 166-7,화성각 앞(중복길 139),아스팔트 콘크리트,원호형,10,4.8,3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
19,127,중복길,부산광역시,영도구,부산광역시 영도구 중복길 276,부산광역시 영도구 신선동2가 180-2,영광아파트 앞(중복길 276),아스팔트 콘크리트,원호형,10,5.6,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
20,128,중복길,부산광역시,영도구,부산광역시 영도구 중복길 288,부산광역시 영도구 신선동2가 181-22,영광아파트 앞(중복길 288),아스팔트 콘크리트,원호형,8,5.8,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
21,129,중복길,부산광역시,영도구,부산광역시 영도구 중복길 91,부산광역시 영도구 신선동3가 100-55,신선초등학교 입구(중복길 91),아스팔트 콘크리트,원호형,8,3.8,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
22,1,태종로,부산광역시,영도구,부산광역시 영도구 태종로422번길 5,부산광역시 영도구 청학동 62-51,부영아파트 앞,아스팔트 콘크리트,가상형,0,2.8,1.4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
23,2,태종로,부산광역시,영도구,부산광역시 영도구 절영로 71,부산광역시 영도구 남항동2가 236-4,어린이도서관 모두 앞,아스팔트 콘크리트,원호형,9,5.7,4.2,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
24,3,일산봉로,부산광역시,영도구,부산광역시 영도구 일산봉로37번길 7,부산광역시 영도구 청학동 77-41,광진교회 앞,아스팔트 콘크리트,원호형,10,7,3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
25,4,일산봉로,부산광역시,영도구,부산광역시 영도구 일산봉로 36,부산광역시 영도구 청학동 77-51,청학 하이츠 앞,아스팔트 콘크리트,원호형,10,7,3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
26,5,일산봉로,부산광역시,영도구,부산광역시 영도구 일산봉로 36,부산광역시 영도구 청학동 77-51,청학 하이츠 앞,아스팔트 콘크리트,원호형,10,7,3,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
27,6,청향길,부산광역시,영도구,부산광역시 영도구 와치로 131,부산광역시 영도구 동삼동 226-118,광명고등학교 후문 앞,아스팔트 콘크리트,원호형,10,4,3.8,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
28,7,조내기길,부산광역시,영도구,부산광역시 영도구 조내기로 39,부산광역시 영도구 청학동 85,일신 마리나 앞,아스팔트 콘크리트,가상형,0,6,4,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
29,8,청학남로,부산광역시,영도구,부산광역시 영도구 청학남로 48,부산광역시 영도구 청학동 99-294,롯데 낙천대(청동새마을금고 앞),아스팔트 콘크리트,원호형,10,6,3.6,일반,Y,35.0926758,129.0570719,N,N,2008,부산광역시 영도구청,051-419-4554,2020-07-28
