종별,재난규모,접수시각,재난지점,관할서/관할구역
구급,1차출동,2020-05-31 23:57,부산광역시 부산진구 초읍동,부산진소방서/부암119안전센터
구급,1차출동,2020-05-31 23:53,부산광역시 동래구 안락동,동래소방서/연산119안전센터
구급,1차출동,2020-05-31 23:41,부산광역시 사하구 하단동,사하소방서/하단119안전센터
기타,1차출동,2020-05-31 23:34,부산광역시 동래구 명장동,금정소방서/서동119안전센터
구급,1차출동,2020-05-31 23:33,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2020-05-31 23:28,부산광역시 부산진구 양정동,동래소방서/양정119안전센터
구급,1차출동,2020-05-31 23:24,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구급,1차출동,2020-05-31 23:22,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-05-31 23:17,부산광역시 북구 구포동,북부소방서/모라119안전센터
구급,1차출동,2020-05-31 23:14,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-05-31 23:13,부산광역시 사하구 당리동,사하소방서/하단119안전센터
구조,1차출동,2020-05-31 23:12,부산광역시 남구 대연동,남부소방서/대연119안전센터
구급,1차출동,2020-05-31 23:09,부산광역시 부산진구 개금동,부산진소방서/당감119안전센터
구급,1차출동,2020-05-31 23:08,부산광역시 기장군 기장읍 청강리,기장소방서/기장119안전센터
구급,1차출동,2020-05-31 23:05,부산광역시 연제구 연산동,동래소방서/양정119안전센터
구급,1차출동,2020-05-31 23:04,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-05-31 23:00,부산광역시 기장군 정관읍 달산리,기장소방서/정관119안전센터
기타,1차출동,2020-05-31 22:54,부산광역시 영도구 대교동1가,항만소방서/영선119안전센터
구급,1차출동,2020-05-31 22:53,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2020-05-31 22:53,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2020-05-31 22:51,부산광역시 부산진구 전포동,부산진소방서/부전119안전센터
구급,1차출동,2020-05-31 22:50,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2020-05-31 22:50,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-05-31 22:48,부산광역시 북구 금곡동,북부소방서/금곡119안전센터
구급,1차출동,2020-05-31 22:46,부산광역시 사하구 하단동,사하소방서/하단119안전센터
구급,1차출동,2020-05-31 22:44,부산광역시 부산진구 당감동,부산진소방서/가야119안전센터
구급,1차출동,2020-05-31 22:43,부산광역시 기장군 정관읍 모전리,기장소방서/정관119안전센터
구급,1차출동,2020-05-31 22:41,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-05-31 22:41,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
구급,1차출동,2020-05-31 22:41,부산광역시 사하구 괴정동,사하소방서/괴정119안전센터
구급,1차출동,2020-05-31 22:37,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-05-31 22:33,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2020-05-31 22:33,부산광역시 동래구 복천동,동래소방서/수안119안전센터
구급,1차출동,2020-05-31 22:31,부산광역시 연제구 연산동,동래소방서/양정119안전센터
화재,1차출동,2020-05-31 22:28,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구조,1차출동,2020-05-31 22:26,부산광역시 영도구 봉래동1가,항만소방서/영선119안전센터
구조,1차출동,2020-05-31 22:21,부산광역시 해운대구 우동,해운대소방서/우동119안전센터
구급,1차출동,2020-05-31 22:17,부산광역시 해운대구 중동,해운대소방서/중동119안전센터
구급,1차출동,2020-05-31 22:11,부산광역시 강서구 신호동,강서소방서/신호119안전센터
구급,1차출동,2020-05-31 22:11,부산광역시 북구 덕천동,북부소방서/구포119안전센터
구급,1차출동,2020-05-31 22:08,부산광역시 사상구 주례동,북부소방서/주례119안전센터
구급,1차출동,2020-05-31 22:07,부산광역시 동구 좌천동,부산진소방서/수정119안전센터
구급,1차출동,2020-05-31 22:02,부산광역시 남구 용호동,남부소방서/용당119안전센터
구급,1차출동,2020-05-31 22:01,부산광역시 남구 우암동,남부소방서/감만119안전센터
구급,1차출동,2020-05-31 22:00,부산광역시 부산진구 부전동,부산진소방서/부전119안전센터
구급,1차출동,2020-05-31 21:57,부산광역시 연제구 연산동,동래소방서/연산119안전센터
구급,1차출동,2020-05-31 21:56,부산광역시 연제구 연산동,동래소방서/연산119안전센터
화재,1차출동,2020-05-31 21:54,부산광역시 연제구 거제동,동래소방서/사직119안전센터
구급,1차출동,2020-05-31 21:46,부산광역시 남구 문현동,부산진소방서/범일119안전센터
구급,1차출동,2020-05-31 21:44,부산광역시 금정구 부곡동,금정소방서/부곡119안전센터
구급,1차출동,2020-05-31 21:41,부산광역시 기장군 정관읍 달산리,기장소방서/정관119안전센터
구조,1차출동,2020-05-31 21:37,부산광역시 사상구 모라동,북부소방서/모라119안전센터
구급,1차출동,2020-05-31 21:35,부산광역시 동구 범일동,부산진소방서/범일119안전센터
기타,1차출동,2020-05-31 21:34,부산광역시 북구 만덕동,북부소방서/만덕119안전센터
구급,1차출동,2020-05-31 21:33,부산광역시 해운대구 반송동,금정소방서/반송119안전센터
