,id,left,top,right,bottom,fid,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,도로폭_평균,도로길이_평균,신호등개수,어린이보호구역수,교차로수,경사도,과속방지턱개수,안전센터근처여부,2.5도로폭이하개수,출동취약지수,신호현시지수
0,140,1115112.5608,1669998.552,1115412.5608,1669698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
1,328,1115412.5608,1669998.552,1115712.5608,1669698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
2,329,1115412.5608,1669698.552,1115712.5608,1669398.552,14,26440,강서구,33,26440,116,0.3333333333333333,0.07779773156899811,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.07779773156899811,4.922202268431002
3,330,1115412.5608,1669398.552,1115712.5608,1669098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
4,516,1115712.5608,1669998.552,1116012.5608,1669698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
5,517,1115712.5608,1669698.552,1116012.5608,1669398.552,14,26440,강서구,33,26440,116,0.3333333333333333,0.07779773156899811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.677797731568998,4.322202268431002
6,518,1115712.5608,1669398.552,1116012.5608,1669098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
7,705,1116012.5608,1669698.552,1116312.5608,1669398.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
8,706,1116012.5608,1669398.552,1116312.5608,1669098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
9,893,1116312.5608,1669698.552,1116612.5608,1669398.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
10,894,1116312.5608,1669398.552,1116612.5608,1669098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
11,1625,1117512.5608,1675698.552,1117812.5608,1675398.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
12,1626,1117512.5608,1675398.552,1117812.5608,1675098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
13,1627,1117512.5608,1675098.552,1117812.5608,1674798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
14,1779,1117812.5608,1685898.552,1118112.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
15,1780,1117812.5608,1685598.552,1118112.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
16,1781,1117812.5608,1685298.552,1118112.5608,1684998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
17,1782,1117812.5608,1684998.552,1118112.5608,1684698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
18,1813,1117812.5608,1675698.552,1118112.5608,1675398.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
19,1814,1117812.5608,1675398.552,1118112.5608,1675098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
20,1815,1117812.5608,1675098.552,1118112.5608,1674798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
21,1967,1118112.5608,1685898.552,1118412.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
22,1968,1118112.5608,1685598.552,1118412.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
23,1969,1118112.5608,1685298.552,1118412.5608,1684998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
24,1970,1118112.5608,1684998.552,1118412.5608,1684698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
25,1971,1118112.5608,1684698.552,1118412.5608,1684398.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
26,2006,1118112.5608,1674198.552,1118412.5608,1673898.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
27,2007,1118112.5608,1673898.552,1118412.5608,1673598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
28,2008,1118112.5608,1673598.552,1118412.5608,1673298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
29,2155,1118412.5608,1685898.552,1118712.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
30,2156,1118412.5608,1685598.552,1118712.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
31,2157,1118412.5608,1685298.552,1118712.5608,1684998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
32,2158,1118412.5608,1684998.552,1118712.5608,1684698.552,14,26440,강서구,33,26440,116,0.16666666666666666,0.012927693761814744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31292769376181473,4.687072306238186
33,2159,1118412.5608,1684698.552,1118712.5608,1684398.552,14,26440,강서구,33,26440,116,0.16666666666666666,0.012927693761814744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31292769376181473,4.687072306238186
34,2160,1118412.5608,1684398.552,1118712.5608,1684098.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.025437145557655954,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.17543714555765597,4.824562854442344
35,2161,1118412.5608,1684098.552,1118712.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
36,2162,1118412.5608,1683798.552,1118712.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
37,2190,1118412.5608,1675398.552,1118712.5608,1675098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
38,2191,1118412.5608,1675098.552,1118712.5608,1674798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
39,2194,1118412.5608,1674198.552,1118712.5608,1673898.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
40,2195,1118412.5608,1673898.552,1118712.5608,1673598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
41,2196,1118412.5608,1673598.552,1118712.5608,1673298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.2,6.2
42,2343,1118712.5608,1685898.552,1119012.5608,1685598.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
43,2344,1118712.5608,1685598.552,1119012.5608,1685298.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
44,2345,1118712.5608,1685298.552,1119012.5608,1684998.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
45,2346,1118712.5608,1684998.552,1119012.5608,1684698.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
46,2347,1118712.5608,1684698.552,1119012.5608,1684398.552,14,26440,강서구,33,26440,116,0.3888888833333333,0.017097511027882796,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.11709750102788283,4.8829024989721175
47,2348,1118712.5608,1684398.552,1119012.5608,1684098.552,14,26440,강서구,33,26440,116,0.4166666666666667,0.025437145557655954,0.0,0.0,0.0,0.3,0.0,0.0,0.0,-0.17543714555765597,4.824562854442344
48,2349,1118712.5608,1684098.552,1119012.5608,1683798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6,5.6
49,2350,1118712.5608,1683798.552,1119012.5608,1683498.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0
50,2378,1118712.5608,1675398.552,1119012.5608,1675098.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
51,2379,1118712.5608,1675098.552,1119012.5608,1674798.552,14,26440,강서구,33,26440,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
52,2382,1118712.5608,1674198.552,1119012.5608,1673898.552,14,26440,강서구,33,26440,116,0.21666666666666667,0.0013423156899810963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3913423156899811,4.608657684310019
