,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,위경도
0,특수학교,배화학교,부산광역시 수영구 연수로310번길 73,,35.16911304,129.1029495,부산광역시 수영구청,연제경찰서,Y,,6~12,2022-06-14,35.16911304129.1029495
1,초등학교,광남초등,부산광역시 수영구 광안해변로 115,,35.14507176,129.1134247,부산광역시 수영구청,남부경찰서,Y,1.0,4~8,2022-06-14,35.14507176129.1134247
2,초등학교,광안초등,부산광역시 수영구 광안로21번가길 38,,35.15652651,129.1171796,부산광역시 수영구청,남부경찰서,Y,,5~16,2022-06-14,35.15652651129.1171796
3,초등학교,남천초등,부산광역시 수영구 남천서로 14,,35.14351616,129.1071266,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.14351616129.1071266
4,초등학교,망미초등,부산광역시 수영구 수미로35번길 27,,35.17491546,129.1143903,부산광역시 수영구청,연제경찰서,Y,1.0,6~10,2022-06-14,35.17491546129.1143903
5,초등학교,민락초등,부산광역시 수영구 광남로257번길 12,,35.1609477,129.126942,부산광역시 수영구청,남부경찰서,Y,1.0,6~8,2022-06-14,35.1609477129.126942
6,초등학교,민안초등,부산광역시 수영구 감포로38번길 33,,35.16306671,129.1212163,부산광역시 수영구청,남부경찰서,Y,,6~8,2022-06-14,35.16306671129.1212163
7,초등학교,배산초등,부산광역시 수영구 망미배산로48번길 85-15,,35.1771617,129.1019364,부산광역시 수영구청,연제경찰서,Y,,6,2022-06-14,35.1771617129.1019364
8,초등학교,수미초등,부산광역시 수영구 연수로310번길 91,,35.168751,129.1037225,부산광역시 수영구청,연제경찰서,Y,,6,2022-06-14,35.168751129.1037225
9,초등학교,수영초등,부산광역시 수영구 광서로16번길 33,,35.1661244,129.112038,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.1661244129.112038
10,초등학교,호암초등,부산광역시 수영구 호암로 57,,35.15816402,129.106338,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.15816402129.106338
11,유치원,금련사유치원,부산광역시 수영구 광일로67번길 16,,35.16220888,129.1055151,부산광역시 수영구청,남부경찰서,Y,,6~16,2022-06-14,35.16220888129.1055151
12,유치원,옥련유치원,부산광역시 수영구 광남로257번길 58(민락동),,35.16136852,129.126575,부산광역시 수영구청,남부경찰서,Y,,6~8,2022-06-14,35.16136852129.126575
13,유치원,나은유치원,부산광역시 수영구 망미번영로13번길 45,,35.16891594,129.105372,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.16891594129.105372
14,유치원,남부산유치원,부산광역시 수영구 광남로48번길 41,,35.14627775,129.1139995,부산광역시 수영구청,남부경찰서,Y,,8,2022-06-14,35.14627775129.1139995
15,유치원,명성유치원,부산광역시 수영구 망미번영로 88,,35.174976,129.111513,부산광역시 수영구청,연제경찰서,Y,,6~10,2022-06-14,35.174976129.111513
16,유치원,백산자연유치원,부산광역시 수영구 무학로69번길 66,,35.16416005,129.120504,부산광역시 수영구청,남부경찰서,Y,,6~12,2022-06-14,35.16416005129.120504
17,유치원,분도유치원,부산광역시 수영구 수영로497번길 18,,35.151155,129.110711,부산광역시 수영구청,남부경찰서,Y,,6~8,2022-06-14,35.151155129.110711
18,유치원,성모유치원,부산광역시 수영구 민락본동로27번길 15,,35.158778,129.127833,부산광역시 수영구청,남부경찰서,Y,,6~20,2022-06-14,35.158778129.127833
19,유치원,수영로유치원,부산광역시 수영구 수영로679번길 9,,35.16638033,129.114368,부산광역시 수영구청,남부경찰서,Y,,8,2022-06-14,35.16638033129.114368
20,유치원,에버그린,부산광역시 수영구 망미배산로 104-7,,35.17568303,129.0967838,부산광역시 수영구청,연제경찰서,Y,,6,2022-06-14,35.17568303129.0967838
22,유치원,천사유치원,부산광역시 수영구 수영로427번길 15,,35.144304,129.1082535,부산광역시 수영구청,남부경찰서,Y,,4~12,2022-06-14,35.144304129.1082535
23,유치원,평화유치원,부산광역시 수영구 연수로312번길 2,,35.171675,129.1043065,부산광역시 수영구청,연제경찰서,N,,4~12,2022-06-14,35.171675129.1043065
24,유치원,호암유치원,부산광역시 수영구 수영로545번길 29,,35.154799,129.110787,부산광역시 수영구청,남부경찰서,Y,,6~8,2022-06-14,35.154799129.110787
25,어린이집,영주암어린이집,부산광역시 수영구 망미배산로76번나길 11,,35.17638465,129.099125,부산광역시 수영구청,연제경찰서,Y,,6~8,2022-06-14,35.17638465129.099125
26,어린이집,광안,부산광역시 수영구 광일로29번가길 66,,35.160923,129.107123,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.160923129.107123
27,어린이집,도산,부산광역시 수영구 무학로63번길 5,,35.161442,129.120507,부산광역시 수영구청,남부경찰서,Y,1.0,6~20,2022-06-14,35.161442129.120507
28,어린이집,동성큰사랑어린이집,부산광역시 수영구 황령산로8번길 6,,35.14779554,129.109744,부산광역시 수영구청,남부경찰서,Y,,6~8,2022-06-14,35.14779554129.109744
29,어린이집,수아&영이어린이집,부산광역시 수영구 광안로35번길 9,,35.15601405,129.116138,부산광역시 수영구청,남부경찰서,Y,,6,2022-06-14,35.15601405129.116138
