"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",가락어린이집,부산광역시 강서구 식만로 95 (식만동) 가락어린이집,부산광역시 강서구 식만동 791-1,35.20399906,128.9043819,부산광역시 강서구,부산강서,N,,8,2022-03-20
"초등학교",가락초등학교,부산광역시 강서구 호계로 41 (죽림동) 가락초등학교,부산광역시 강서구 죽림동 623-2,35.19634003,128.8952655,부산광역시 강서구,부산강서,N,,12,2022-03-20
"유치원",가락초등학교병설유치원,부산광역시 강서구 호계로 41 (죽림동) 가락초등학교병설유치원,부산광역시 강서구 죽림동 623-2,35.19634003,128.8952655,부산광역시 강서구,부산강서,N,,,2022-03-20
"어린이집",강변어린이집,부산광역시 강서구 공항로361번길 26 (대저2동) 강변어린이집,부산광역시 강서구 대저2동 5199-2,35.140703,128.9473100056,부산광역시 강서구,부산강서,N,,4,2022-03-20
"어린이집",강서어린이집,부산광역시 강서구 대저로63번길 31 (대저1동) 강서어린이집,부산광역시 강서구 대저1동 1549-1,35.21676068,128.9593383,부산광역시 강서구,부산강서,N,,6,2022-03-20
"어린이집",글로벌새싹어린이집,부산광역시 강서구 명지오션시티9로 19 (명지동) 글로벌새싹어린이집,부산광역시 강서구 명지동 3230-8,35.08866879,128.8989356,부산광역시 강서구,부산강서,Y,1,12,2022-03-20
"유치원",기린유치원,부산광역시 강서구 과학산단로334번다길 59 (지사동) 기린유치원,부산광역시 강서구 지사동 1189-8,35.14979832,128.8355835,부산광역시 강서구,부산강서,N,,8,2022-03-20
"어린이집",꿈바위어린이집,부산광역시 강서구 범방3로46번길 3 (범방동) 꿈바위어린이집,부산광역시 강서구 범방동 1901-1,35.14755365,128.8804493,부산광역시 강서구,부산강서,N,,12,2022-03-20
"유치원",남명유치원,부산광역시 강서구 명지오션시티11로 132 (명지동) 남명유치원,부산광역시 강서구 명지동 3243-2,35.08408661,128.9105908,부산광역시 강서구,부산강서,N,,,2022-03-20
"초등학교",남명초등학교,부산광역시 강서구 명지오션시티11로 132 (명지동) 남명초등학교,부산광역시 강서구 명지동 3243-2,35.08403561,128.9105908,부산광역시 강서구,부산강서,Y,2,16,2022-03-20
"초등학교",녹명초등학교,부산광역시 강서구 낙동남로 617 (녹산동) 녹명초등학교,부산광역시 강서구 녹산동 228-3,35.11489404,128.8863922,부산광역시 강서구,부산강서,Y,2,24,2022-03-20
"어린이집",녹산산단바른어린이집,부산광역시 강서구 녹산산단335로 11 (송정동) 녹산산단바른어린이집,부산광역시 강서구 송정동 1627-4,35.09010981,128.8539339,부산광역시 강서구,부산강서,N,,8,2022-03-20
"유치원",녹산유치원,부산광역시 강서구 과학산단2로20번길 55 (지사동) 녹산유치원,부산광역시 강서구 지사동 1184-2,35.15147548,128.8371219,부산광역시 강서구,부산강서,N,,,2022-03-20
"초등학교",녹산초등학교,부산광역시 강서구 과학산단2로20번길 55 (지사동) 녹산초등학교,부산광역시 강서구 지사동 1184-2,35.15147548,128.8371219,부산광역시 강서구,부산강서,Y,2,20,2022-03-20
"어린이집",대사라온어린이집,부산광역시 강서구 제도로 1166-11 (강동동) 대사라온어린이집,부산광역시 강서구 강동동 136-17,35.21397539,128.9348277,부산광역시 강서구,부산강서,N,,9,2022-03-20
"초등학교",대사초등학교,부산광역시 강서구 낙동북로73번길 29 (강동동) 대사초등학교,부산광역시 강서구 강동동 101-64,35.22041811,128.9385487,부산광역시 강서구,부산강서,Y,3,4~8,2022-03-20
"초등학교",대상초등학교,부산광역시 강서구 대저로 249 (대저1동) 대상초등학교,부산광역시 강서구 대저1동 2355-1,35.21418396,128.9802525,부산광역시 강서구,부산강서,Y,1,12,2022-03-20
"유치원",대저유치원,부산광역시 강서구 공항로767번나길 1 (대저2동) 대저유치원,부산광역시 강서구 대저2동 2515-14,35.17513227,128.9578468,부산광역시 강서구,부산강서,N,,4,2022-03-20
"초등학교",대저초등학교,부산광역시 강서구 대저로29번길 27 (대저1동) 대저초등학교,부산광역시 강서구 대저1동 1605,35.21610222,128.9553077,부산광역시 강서구,부산강서,N,,10,2022-03-20
"초등학교",덕두초등학교,부산광역시 강서구 공항로791번길 68 (대저2동) 덕두초등학교,부산광역시 강서구 대저2동 2489-1,35.17564815,128.9558698,부산광역시 강서구,부산강서,Y,1,10,2022-03-20
"유치원",라임유치원,부산광역시 강서구 영강길91번길 7 (명지동) 라임유치원,부산광역시 강서구 명지동 1401-1,35.10849495,128.9254002,부산광역시 강서구,부산강서,N,,8,2022-03-20
"유치원",명원유치원,부산광역시 강서구 명지국제6로 147 (명지동) 명원유치원,부산광역시 강서구 명지동 3405,35.09412838,128.9149102,부산광역시 강서구,부산강서,N,,,2022-03-20
"초등학교",명원초등학교,부산광역시 강서구 명지국제6로 147 (명지동) 명원초등학교,부산광역시 강서구 명지동 3405,35.09412838,128.9149102,부산광역시 강서구,부산강서,Y,24,8~12,2022-03-20
"유치원",명일유치원(단설),부산광역시 강서구 명지국제5로 170-5 (명지동) 명일유치원(단설),부산광역시 강서구 명지동 3477-2,35.10951726,128.922704,부산광역시 강서구,부산강서,N,,,2022-03-20
"초등학교",명일초등학교,부산광역시 강서구 명지국제5로 170-5 (명지동) 명일초등학교,부산광역시 강서구 명지동 3477-2,35.10951726,128.922704,부산광역시 강서구,부산강서,Y,4,8,2022-03-20
"유치원",명지국제유치원,부산광역시 강서구 명지국제7로 186 (명지동) 명지국제유치원,부산광역시 강서구 명지동 3428-2,35.09512861,128.9216749,부산광역시 강서구,부산강서,N,,,2022-03-20
"유치원",명지배화유치원,부산광역시 강서구 영강길 165 (명지동) 명지배화유치원,부산광역시 강서구 명지동 308,35.11183594,128.9237437,부산광역시 강서구,부산강서,N,,12,2022-03-20
"유치원",명지센텀유치원,부산광역시 강서구 명지오션시티9로 53 (명지동) 명지센텀유치원,부산광역시 강서구 명지동 3229-13,35.08864415,128.9026565,부산광역시 강서구,부산강서,N,,12,2022-03-20
"유치원",명지유치원(단설),부산광역시 강서구 명지국제6로 296 (명지동) 명지유치원,부산광역시 강서구 명지동 3385,35.10226077,128.9241172,부산광역시 강서구,부산강서,N,,,2022-03-20
