"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"유치원",아인유치원,부산광역시 금정구 금정도서관로 5-4,부산광역시 금정구 청룡동 7-3,35.27291031,129.093639,부산광역시 금정구청,금정경찰서,N,,16,2022-06-10
"유치원",아람유치원,부산광역시 금정구 두실로15번길 52-13,부산광역시 금정구 구서동 225,35.25839737,129.088665,부산광역시 금정구청,금정경찰서,Y,1,10,2022-06-10
"유치원",숲속유치원,부산광역시 금정구 서부로81,부산광역시 금정구 서동 502-2,35.219904,129.0987211,부산광역시 금정구청,금정경찰서,N,,12,2022-06-10
"유치원",소심유치원,부산광역시 금정구 서동로5번길 58-1,부산광역시 금정구 부곡동 841-1,35.22181666,129.0944139,부산광역시 금정구청,금정경찰서,N,,5,2022-06-10
"유치원",선경유치원,부산광역시 금정구 구서중앙로 20,부산광역시 금정구 구서동 185-1,35.25600571,129.0883572,부산광역시 금정구청,금정경찰서,Y,1,14,2022-06-10
"유치원",둥지유치원,부산광역시 금정구 서동로103번길 78,부산광역시 금정구 서동 166-1,35.21719056,129.1009082,부산광역시 금정구청,금정경찰서,N,,6,2022-06-10
"유치원",동백자연유치원,부산광역시 금정구 청룡로61번길 34,부산광역시 금정구 남산동 743-1,35.2737306,129.0856737,부산광역시 금정구청,금정경찰서,N,,8,2022-06-10
"초등학교",동상초등학교,부산광역시 금정구 옥봉로 5,부산광역시 금정구 서동 235,35.21130018,129.1069492,부산광역시 금정구청,금정경찰서,Y,1,5~8,2022-06-10
"초등학교",금성초등학교,부산광역시 금정구 중리1길 15,부산광역시 금정구 금성동 609,35.25067682,129.0573705,부산광역시 금정구청,금정경찰서,N,,3~6,2022-06-10
"초등학교",동래초등학교,부산광역시 금정구 체육공원로44번길 26,부산광역시 금정구 부곡동 산7-1,35.24710743,129.0984812,부산광역시 금정구청,금정경찰서,Y,1,10~16,2022-06-10
"초등학교",남산초등학교,부산광역시 금정구 금강로 614,부산광역시 금정구 남산동 59-2,35.26214086,129.0891827,부산광역시 금정구청,금정경찰서,Y,1,6~10,2022-06-10
"초등학교",금정초등학교,부산광역시 금정구 식물원로44번길 46,부산광역시 금정구 장전동 348-1,35.22802827,129.0848988,부산광역시 금정구청,금정경찰서,Y,4,3~18,2022-06-10
"초등학교",금양초등학교,부산광역시 금정구 중앙대로 1755,부산광역시 금정구 부곡동 63-27,35.241299,129.0920249,부산광역시 금정구청,금정경찰서,N,,6~15,2022-06-10
"초등학교",금샘초등학교,부산광역시 금정구 금샘로 525,부산광역시 금정구 남산동 553-2,35.26905918,129.0838928,부산광역시 금정구청,금정경찰서,Y,1,14,2022-06-10
"초등학교",금사초등학교,부산광역시 금정구 금사로57번길 24,부산광역시 금정구 서동 41-3,35.21892107,129.1095928,부산광역시 금정구청,금정경찰서,N,,3.5~5,2022-06-10
"초등학교",금빛초등학교,부산광역시 금정구 소정로 31,부산광역시 금정구 장전동 714,35.22797727,129.080337,부산광역시 금정구청,금정경찰서,N,,4~18,2022-06-10
