"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",가동초등학교,부산광역시 기장군 정관읍 정관5로 100,부산광역시 기장군 정관읍 용수리 1305,35.32689908,129.178585,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"어린이집",고리원자력본부 한빛어린이집,부산광역시 기장군 장안읍 천산로28,부산광역시 기장군 장안읍 길천리 310-3,35.33055564,129.2826477,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
"초등학교",교리초등학교,부산광역시 기장군 기장읍 차성로 427,부산광역시 기장군 기장읍 교리 241-2,35.25506584,129.216719,부산광역시 기장군,기장경찰서,Y,15,,2022-03-10
"어린이집",기장어린이집,부산광역시 기장군 기장읍 청강로57번길15,부산광역시 기장군 기장읍 청강리 117-21,35.2377172,129.2198799,부산광역시 기장군,기장경찰서,Y,12,,2022-03-10
"초등학교",기장초등학교,부산광역시 기장군 기장읍 읍내로77번길 7,부산광역시 기장군 기장읍 동부리 320,35.24556634,129.2128749,부산광역시 기장군,기장경찰서,Y,26,,2022-03-10
"유치원",기장초등학교병설유치원,부산광역시 기장군 기장읍 읍내로 75,부산광역시 기장군 기장읍 동부리 306-10,35.245419,129.2125717,부산광역시 기장군,기장경찰서,Y,26,,2022-03-10
"초등학교",내리초등학교,부산광역시 기장군 기장읍 소정안길 50,부산광역시 기장군 기장읍 내리 772,35.20576309,129.2055052,부산광역시 기장군,기장경찰서,Y,7,,2022-03-10
"유치원",녹원유치원,부산광역시 기장군 기장읍 석산1길 69-1,부산광역시 기장군 기장읍 석산리 241-3,35.20081212,129.2103555,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
"유치원",달산유치원,부산광역시 기장군 정관읍 정관로 674,부산광역시 기장군 정관읍 달산리 1204,35.31928499,129.186736,부산광역시 기장군,기장경찰서,Y,8,,2022-03-10
"초등학교",달산초등학교,부산광역시 기장군 정관읍 정관로 674,부산광역시 기장군 정관읍 달산리 1204,35.31928499,129.186736,부산광역시 기장군,기장경찰서,Y,8,,2022-03-10
"유치원",용암병설유치원,부산광역시 기장군 기장읍 기장해안로 577,부산광역시 기장군 기장읍 대변리 444,35.22530838,129.2268644,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"초등학교",용암초등학교,부산광역시 기장군 기장읍 기장해안로 577,부산광역시 기장군 기장읍 대변리 444,35.22530838,129.226893,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"초등학교",대청초등학교,부산광역시 기장군 기장읍 차성서로 31,부산광역시 기장군 기장읍 대라리 226,35.23550269,129.2099128,부산광역시 기장군,기장경찰서,Y,12,,2022-03-10
"초등학교",모전초등학교,부산광역시 기장군 정관읍 정관1로 17,부산광역시 기장군 정관읍 모전리 719,35.33968544,129.1623355,부산광역시 기장군,기장경찰서,Y,6,,2022-03-10
"유치원",모전초등학교병설유치원,부산광역시 기장군 정관읍 정관1로 17,부산광역시 기장군 정관읍 모전리 719,35.33968544,129.1623355,부산광역시 기장군,기장경찰서,Y,6,,2022-03-10
"초등학교",방곡초등학교,부산광역시 기장군 정관읍 정관덕산길 61,부산광역시 기장군 정관읍 방곡리 412,35.32292944,129.186724,부산광역시 기장군,기장경찰서,Y,11,,2022-03-10
"유치원",버클리유치원,부산광역시 기장군 정관읍 정관상곡1길 34,부산광역시 기장군 정관읍 매학리 466,35.31899474,129.1681596,부산광역시 기장군,기장경찰서,Y,2,,2022-03-10
"외국인학교",부산국제외국인학교,부산광역시 기장군 기장읍 기장대로 50,부산광역시 기장군 기장읍 내리 798,35.20075459,129.2071878,부산광역시 기장군,기장경찰서,N,0,,2022-03-10
"특수학교",부산해마루학교,부산광역시 기장군 정관읍 모전로 23,부산광역시 기장군 정관읍 모전리 678,35.34081003,129.1661141,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
"유치원",사랑나무유치원(구.해오름),부산광역시 기장군 기장읍 대청로14번길 3,부산광역시 기장군 기장읍 대라리 164-15,35.237615,129.211988,부산광역시 기장군,기장경찰서,Y,19,,2022-03-10
"어린이집",산새소리어린이집(구.롯데동산),부산광역시 기장군 기장읍 차성남로1-4,부산광역시 기장군 기장읍 대라리 923,35.24149724,129.208318,부산광역시 기장군,기장경찰서,Y,18,,2022-03-10
"유치원",산새소리유치원,부산광역시 기장군 기장읍 차성남로 1-4,부산광역시 기장군 기장읍 대라리 923,35.24149724,129.208318,부산광역시 기장군,기장경찰서,Y,17,,2022-03-10
"어린이집",성우어린이집(구.육영),부산광역시 기장군 일광면 이화로47-10,부산광역시 기장군 일광면 이천리 755-2,35.26948168,129.2323099,부산광역시 기장군,기장경찰서,Y,5,,2022-03-10
"유치원",성우유치원,부산광역시 기장군 장안읍 대룡2길45,부산광역시 기장군 기장읍 청강리 18-2,35.37426077,129.263181,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"특수학교",성우학교,부산광역시 기장군 장안읍 대룡2길 45,부산광역시 기장군 장안읍 명례리 133-1,35.37426077,129.263163,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"유치원",세화유치원,부산광역시 기장군 기장읍 기장대로 563,부산광역시 기장군 기장읍 청강리 18-2,35.24534842,129.2204395,부산광역시 기장군,기장경찰서,Y,5,,2022-03-10
"어린이집",소망어린이집,부산광역시 기장군 기장읍 배산로 60,부산광역시 기장군 기장읍 서부리 450,35.24960271,129.211719,부산광역시 기장군,기장경찰서,Y,6,,2022-03-10
"유치원",숲속원광유치원,부산광역시 기장군 정관읍 곰내길 654-125,부산광역시 기장군 정관읍 달산리 934-28,35.31051099,129.1735765,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
"초등학교",신정초등학교,부산광역시 기장군 정관읍 정관로 460,부산광역시 기장군 정관읍 용수리 1358,35.32865722,129.167652,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"초등학교",신진초등학교,부산광역시 기장군 철마면 고촌로28번길 10,부산광역시 기장군 철마면 고촌리 655,35.24092086,129.1714623,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"유치원",신진초등학교병설유치원,부산광역시 기장군 철마면 고촌로28번길 10,부산광역시 기장군 철마면 고촌리 655,35.24092086,129.1714623,부산광역시 기장군,기장경찰서,Y,4,,2022-03-10
"어린이집",엔젤어린이집,부산광역시 기장군 기장읍 차성서로 42,부산광역시 기장군 기장읍 대라리 160-9,35.237074,129.210457,부산광역시 기장군,기장경찰서,Y,15,,2022-03-10
"초등학교",월내초등학교,부산광역시 기장군 장안읍 길천2길 25,부산광역시 기장군 장안읍 길천리 191-1,35.32806456,129.2824809,부산광역시 기장군,기장경찰서,Y,9,,2022-03-10
"유치원",월내초등학교병설유치원,부산광역시 기장군 장안읍 길천2길 25,부산광역시 기장군 장안읍 길천리 191-1,35.32806456,129.2824809,부산광역시 기장군,기장경찰서,Y,9,,2022-03-10
"초등학교",월평초등학교,부산광역시 기장군 정관읍 월평1길 21,부산광역시 기장군 정관읍 월평리 125-2,35.35969505,129.1383592,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"유치원",월평초등학교병설유치원,부산광역시 기장군 정관읍 월평1길 21,부산광역시 기장군 정관읍 월평리 125-2,35.35969505,129.1383592,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"초등학교",일광초등학교,부산광역시 기장군 일광면 해빛로 46,부산광역시 기장군 일광면 삼성리 774,35.26821044,129.2230225,부산광역시 기장군,기장경찰서,Y,2,,2022-03-10
"유치원",일광유치원,부산광역시 기장군 일광면 해빛로 42,부산광역시 기장군 일광면 삼성리 776,35.26770528,129.2236935,부산광역시 기장군,기장경찰서,Y,2,,2022-03-10
"어린이집",장안어린이집,부산광역시 기장군 장안읍 해맞이로167,부산광역시 기장군 장안읍 임랑리 110-3,35.317128,129.258986,부산광역시 기장군,기장경찰서,Y,7,,2022-03-10
"초등학교",장안초등학교,부산광역시 기장군 장안읍 좌천로 13-66,부산광역시 기장군 장안읍 좌천리 115,35.31195211,129.2395584,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"유치원",장안초등학교병설유치원,부산광역시 기장군 장안읍 좌천로 13-66,부산광역시 기장군 장안읍 좌천리 115,35.31195211,129.2395584,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"어린이집",전원어린이집,부산광역시 기장군 기장읍 차성로365번길75,부산광역시 기장군 기장읍 교리 162,35.255537,129.2132298,부산광역시 기장군,기장경찰서,Y,7,,2022-03-10
"어린이집",정관5어린이집,부산광역시 기장군 정관읍 정관중앙로 110,부산광역시 기장군 정관읍 방곡리 442,35.32633378,129.1822247,부산광역시 기장군,기장경찰서,Y,3,,2022-03-10
"유치원",정관무지개유치원,부산광역시 기장군 정관읍 정관5로 127,부산광역시 기장군 정관읍 용수리 210-1,35.32960716,129.1782003,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
"어린이집",정관아이비어린이집,부산광역시 기장군 정관읍 구연방곡로 43,부산광역시 기장군 정관읍 방곡리 440,35.32344446,129.1847375,부산광역시 기장군,기장경찰서,Y,14,,2022-03-10
"유치원",정관아이숲유치원,부산광역시 기장군 정관읍 병산로 24,부산광역시 기장군 정관읍 용수리 452,35.33616945,129.171847,부산광역시 기장군,기장경찰서,Y,1,,2022-03-10
