"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",대천초등학교,부산광역시 남구 조각공원로 19,,35.12920185,129.1010318,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",대남초등학교,부산광역시 남구 황령대로353번길 9-55,,35.14885685,129.0972482,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",동천초등학교,부산광역시 남구 석포로26번길 22,,35.12161413,129.0831739,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",동항초등학교,부산광역시 남구 우암로 42,,35.114061,129.0829058,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",석포초등학교,부산광역시 남구 석포로86번길 76,,35.1265655,129.0918337,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",대연초등학교,부산광역시 남구 진남로18번길 11,,35.13723821,129.0922867,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"유치원",문현초등학교 병설유치원,부산광역시 남구 고동골로 86-13,,35.14532445,129.0729385,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",성동초등학교,부산광역시 남구 전포대로68번길 27,,35.1438328,129.069115,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"유치원",성동초등학교 병설유치원,부산광역시 남구 전포대로68번길 27,,35.1438328,129.0691046,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",용당초등학교,부산광역시 남구 신선로 341,,35.11669795,129.0939473,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",분포초등학교,부산광역시 남구 분포로 41,,35.12891344,129.113993,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",용문초등학교,부산광역시 남구 신선로 542,,35.13067684,129.1081427,부산광역시 남구청,부산광역시 남부경찰서,N,,,2022-06-16
"초등학교",용호초등학교,부산광역시 남구 용호로42번길 94,,35.12247969,129.108928,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",운산초등학교,부산광역시 남구 용호로269번길 89,,35.11020526,129.1152259,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",용산초등학교,부산광역시 남구 동명로176번길 55,,35.11653828,129.1160696,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",연포초등학교,부산광역시 남구 못골로 17,,35.13729666,129.0840869,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",문현초등학교,부산광역시 남구 고동골로 86-13,,35.14532445,129.0729385,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"유치원",용산초등학교 병설유치원,부산광역시 남구 동명로176번길 55,,35.11653828,129.1160696,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
"초등학교",백운초등학교,부산광역시 남구 동명로 76,,35.11830794,129.105533,부산광역시 남구청,부산광역시 남부경찰서,Y,,,2022-06-16
