"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",초량초등학교,부산광역시 동구 초량상로 49,,35.11571293,129.0363333,부산광역시 동구청,초량지구대,Y,4,,2022-06-01
"초등학교",성남초등학교,부산광역시 동구 범일로53번길 14,,35.13519334,129.058478,부산광역시 동구청,자성대파출소,Y,3,,2022-06-01
"초등학교",범일초등학교,부산광역시 동구 증산서로 55,,35.13957116,129.0496534,부산광역시 동구청,수성지구대,Y,2,,2022-06-01
"초등학교",수정초등학교,부산광역시 동구 진성로 29,,35.13126498,129.0467291,부산광역시 동구청,수성지구대,Y,4,,2022-06-01
"초등학교",수성초등학교,부산광역시 동구 망양로 807,,35.13455159,129.042761,부산광역시 동구청,수성지구대,Y,5,,2022-06-01
"외국인학교",부산화교소학교,부산광역시 동구 대영로239번길 43,,35.11412616,129.037478,부산공역시 동구청,초량지구대,Y,2,,2022-06-01
"유치원",소화데레사유치원,부산광역시 동구 범곡남로 5,,35.13805619,129.055889,부산광역시 동구청,좌천파출소,Y,1,,2022-06-01
"유치원",일신유치원,부산광역시 동구 정공단로 17,,35.13467511,129.053374,부산광역시 동구청,좌천파출소,Y,5,,2022-06-01
"유치원",한림유치원,부산광역시 동구 홍곡남로 3,,35.124173,129.0395579,부산광역시 동구청,초량지구대,Y,0,,2022-06-01
"유치원",성남초등병설유치원,부산광역시 동구 범일로53번길 14,,35.13519334,129.0584732,부산광역시 동구청,자성대파출소,Y,3,,2022-06-01
"유치원",동일중앙초등병설유치원,부산광역시 동구 구봉로 46,,35.12451542,129.0367718,부산광역시 동구청,초량지구대,Y,5,,2022-06-01
"유치원",수성초등병설유치원,부산광역시 동구 망양로 807,,35.13455159,129.0427218,부산광역시 동구청,수성지구대,Y,5,,2022-06-01
"유치원",묘음유치원,부산광역시 동구 구봉로 63,,35.12501873,129.0355646,부산광역시 동구청,초량지구대,Y,1,,2022-06-01
"어린이집",묘음예능어린이집,부산광역시 동구 구봉로 63,,35.12501873,129.0355625,부산광역시 동구청,초량지구대,Y,1,,2022-06-01
"어린이집",수정어린이집,부산광역시 동구 수정공원로129번길 10,,35.136231,129.0430177,부산광역시 동구청,수성지구대,Y,4,,2022-06-01
"어린이집",범일초등병설유치원,부산광역시 동구 증산서로 55,,35.13957116,129.0496534,부산광역시 동구청,수성지구대,Y,2,,2022-06-01
"어린이집",수정삼성어린이집,부산광역시 동구 수정중로 33,,35.13134528,129.0449629,부산광역시 동구청,수성지구대,Y,4,,2022-06-01
"초등학교",동일중앙초등학교,부산광역시 동구 구봉로 46,,35.12451542,129.0367718,부산광역시 동구청,초량지구대,Y,5,,2022-06-01
