"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",BR스쿨어린이집,부산광역시 동래구 쇠미로27번길 10 (사직동) BR스쿨어린이집,부산광역시 동래구 사직동 981-7,35.19672651,129.0533438,부산광역시 동래구,동래경찰서,Y,1,22,2022-05-13
"유치원",SK뜰에유치원,"부산광역시 동래구 충렬대로 487 (안락동, 안락 SK아파트) SK뜰에유치원",부산광역시 동래구 안락동 472-57,35.19481646,129.1118476,부산광역시 동래구,동래경찰서,N,,12,2022-05-13
"초등학교",교동초등학교,부산광역시 동래구 시실로 73-13 (명륜동) 교동초등학교,부산광역시 동래구 명륜동 105-1,35.21545808,129.0921765,부산광역시 동래구,동래경찰서,Y,1,12,2022-05-13
"유치원",교동초등학교병설유치원,부산광역시 동래구 시실로 73-13 (명륜동) 교동초등학교병설유치원,부산광역시 동래구 명륜동 105-1,35.21545808,129.0921765,부산광역시 동래구,동래경찰서,N,,12,2022-05-13
"초등학교",금강초등학교,부산광역시 동래구 사직북로28번길 125 (온천동) 금강초등학교,부산광역시 동래구 온천동 1263,35.2031347,129.0641112,부산광역시 동래구,동래경찰서,Y,5,31,2022-05-13
"초등학교",낙민초등학교,부산광역시 동래구 충렬대로272번길 34 (낙민동) 낙민초등학교,부산광역시 동래구 낙민동 303,35.19942578,129.088343,부산광역시 동래구,동래경찰서,Y,5,18,2022-05-13
"유치원",낙민초등학교병설유치원,부산광역시 동래구 충렬대로272번길 34 (낙민동) 낙민초등학교병설유치원,부산광역시 동래구 낙민동 303,35.19942578,129.088343,부산광역시 동래구,동래경찰서,N,,18,2022-05-13
"초등학교",내산초등학교,부산광역시 동래구 중앙대로1335번길 38 (온천동) 내산초등학교,부산광역시 동래구 온천동 700-1,35.20735793,129.0766352,부산광역시 동래구,동래경찰서,Y,4,9,2022-05-13
"초등학교",내성초등학교,부산광역시 동래구 동래로 173 (복천동) 내성초등학교,부산광역시 동래구 복천동 72,35.20461583,129.0897914,부산광역시 동래구,동래경찰서,Y,1,12,2022-05-13
"유치원",내성초등학교병설유치원,부산광역시 동래구 동래로 173 (복천동) 내성초등학교병설유치원,부산광역시 동래구 복천동 72,35.20461583,129.0897374,부산광역시 동래구,동래경찰서,N,,12,2022-05-13
"유치원",느티나무유치원,부산광역시 동래구 온천천로453번길 6 (안락동) 느티나무유치원,부산광역시 동래구 안락동 221-7,35.19155774,129.1028193,부산광역시 동래구,동래경찰서,Y,3,9,2022-05-13
"초등학교",달북초등학교,부산광역시 동래구 쇠미로 131 (온천동) 달북초등학교,부산광역시 동래구 온천동 1608-2,35.20357435,129.0599975,부산광역시 동래구,동래경찰서,Y,2,20,2022-05-13
"유치원",동래유치원,부산광역시 동래구 동래로152번가길 21-9 (칠산동) 동래유치원,부산광역시 동래구 칠산동 246,35.20316736,129.088301,부산광역시 동래구,동래경찰서,Y,1,8,2022-05-13
"유치원",럭키동래유치원,부산광역시 동래구 중앙대로1367번길 85 (온천동) 럭키동래유치원,부산광역시 동래구 온천동 707-4,35.2100912,129.0734827,부산광역시 동래구,동래경찰서,N,,20,2022-05-13
"초등학교",명동초등학교,부산광역시 동래구 명장로63번길 60-5 (명장동) 명동초등학교,부산광역시 동래구 명장동 433-2,35.20759141,129.1062471,부산광역시 동래구,동래경찰서,N,,9,2022-05-13
"유치원",명륜자연유치원,부산광역시 동래구 명륜로250번길 43 (명륜동) 명륜자연유치원,부산광역시 동래구 명륜동 32-71,35.21515222,129.0870207,부산광역시 동래구,동래경찰서,N,,5,2022-05-13
"초등학교",명륜초등학교,부산광역시 동래구 동래로 91 (명륜동) 명륜초등학교,부산광역시 동래구 명륜동 228,35.20803548,129.0832699795,부산광역시 동래구,동래경찰서,Y,3,20,2022-05-13
"초등학교",명서초등학교,부산광역시 동래구 명서로 121 (명장동) 명서초등학교,부산광역시 동래구 명장동 502-1,35.21207663,129.1008778,부산광역시 동래구,동래경찰서,N,,18,2022-05-13
"초등학교",명장초등학교,부산광역시 동래구 복천로 121 (명장동) 명장초등학교,부산광역시 동래구 명장동 273-1,35.20819025,129.0965594,부산광역시 동래구,동래경찰서,Y,1,13,2022-05-13
"초등학교",미남초등학교,부산광역시 동래구 충렬대로100번길 83 (온천동) 미남초등학교,부산광역시 동래구 온천동 1460-1,35.20368445,129.0728408,부산광역시 동래구,동래경찰서,Y,3,9,2022-05-13
"유치원",법륜유치원,부산광역시 동래구 동래로 160 (칠산동) 법륜유치원,부산광역시 동래구 칠산동 239-10,35.20358527,129.0879172,부산광역시 동래구,동래경찰서,Y,2,15,2022-05-13
"어린이집",부산경찰청직장어린이집,부산광역시 동래구 쇠미로17번길 8 (사직동) 부산경찰청어린이집,부산광역시 동래구 사직동 981-62,35.19585803,129.0534731,부산광역시 동래구,동래경찰서,N,,16,2022-05-13
"특수학교",부산맹학교,부산광역시 동래구 충렬사로67번길 56 (명장동) 부산맹학교,부산광역시 동래구 명장동 263-5,35.20686112,129.0970552,부산광역시 동래구,동래경찰서,N,,10,2022-05-13
"유치원",쁘띠쁘아유치원,부산광역시 동래구 쇠미로129번길 102-13 (온천동) 쁘띠쁘아유치원,부산광역시 동래구 온천동 1657-7,35.20713307,129.0577378,부산광역시 동래구,동래경찰서,N,,6,2022-05-13
"유치원",사직유치원,부산광역시 동래구 사직북로34번길 62 (사직동) 사직유치원,부산광역시 동래구 사직동 54-8,35.2005247,129.0627414,부산광역시 동래구,동래경찰서,Y,1,10,2022-05-13
