"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",개원어린이집,부산광역시 부산진구 백양관문로77번길 33,부산광역시 부산진구 개금동 1-19,35.16450196,129.0277604,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",부산광역시청어린이집,부산광역시 부산진구 거제천로40번길 31,부산광역시 부산진구 양정동 250-1,35.1792288,129.0727223,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",부산진구 사회복지관어린이집,부산광역시 부산진구 복지로 117-12,부산광역시 부산진구 개금동 산 57-9,35.1426032,129.0201649,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",양정삼성어린이집,부산광역시 부산진구 연수로11번길 34,부산광역시 부산진구 양정동 271-18,35.17479967,129.0737388,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",크로바어린이집,부산광역시 부산진구 백양대로136번길 37-9,부산광역시 부산진구 당감동 516-3,35.1618761,129.0332321,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",한빛어린이집,부산광역시 부산진구 동평로39번길 106,부산광역시 부산진구 당감동 633-1,35.1676615,129.0292801,부산광역시 부산진구청,부산진경찰서,Y,4,,2022-03-18
"어린이집",햇살자연어린이집,부산광역시 부산진구 엄광로386번길 24,부산광역시 부산진구 범천동 1127-39,35.1514439,129.0459936,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"어린이집",초원사랑어린이집,부산광역시 부산진구 가야대로 635-20,부산광역시 부산진구 당감동 109-1,35.1569219,129.0422729,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",당감복지관 나리어린이집,부산광역시 부산진구 당감서로 16,부산광역시 부산진구 당감동 818-220,35.162359,129.0366013,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",양정소명어린이집,부산광역시 부산진구 진남로 548,부산광역시 부산진구 양정동 73-6,35.171691,129.074289,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"어린이집",수어린이집,부산광역시 부산진구 성지로46번길 20-1,부산광역시 부산진구 연지동 290-37,35.174769,129.055462,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"어린이집",연지꿈동산어린이집,부산광역시 부산진구 성지로51번길 24,부산광역시 부산진구 연지동 10-4,35.17576988,129.0538634,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",개금유치원,부산광역시 부산진구 냉정로178번길 13,부산광역시 부산진구 개금동 835,35.14933558,129.0196731,부산광역시 부산진구청,부산진경찰서,Y,2,,2022-03-18
"유치원",예종유치원(구.초읍유치원),부산광역시 부산진구 성지로 116,부산광역시 부산진구 초읍동 178-6,35.18046668,129.0515273,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",춘해유치원,부산광역시 부산진구 안창로14번길 78,부산광역시 부산진구 범천동 1536,35.1461264,129.0433841,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"유치원",큰별유치원,부산광역시 부산진구 백양대로260번길 16,부산광역시 부산진구 개금동 419-3,35.1565111,129.0222699,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"유치원",한사랑유치원,부산광역시 부산진구 양지로11번길 64,부산광역시 부산진구 양정동 345-2,35.1714866,129.0717271,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",현대일신유치원,부산광역시 부산진구 거제대로 37,부산광역시 부산진구 양정동 458-20,35.17075418,129.0664592,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",화승유치원,부산광역시 부산진구 당감로 79,부산광역시 부산진구 부암동 500,35.16840379,129.0373261,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",화인유치원,부산광역시 부산진구 성지로14번길 65,부산광역시 부산진구 연지동 50-6,35.17282726,129.0586357,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",해바라기자연유치원,부산광역시 부산진구 개금본동로9번길 41,부산광역시 부산진구 개금동 237-1,35.1571185,129.0235693,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",금란유치원,부산광역시 부산진구 백양관문로 25-29,부산광역시 부산진구 개금동 53-5,35.1608238,129.0294651,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",금샘유치원,부산광역시 부산진구 화지로 6,부산광역시 부산진구 양정동 455,35.1755761,129.0640828,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",미소유치원(구.나무와아이들),부산광역시 부산진구 백양관문로 112,부산광역시 부산진구 당감동 791,35.16859825,129.0276734,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",늘푸른유치원,부산광역시 부산진구 복지로 70,부산광역시 부산진구 개금동 618-2,35.14743748,129.0196358,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",다원유치원,부산광역시 부산진구 성지로74번길 60,부산광역시 부산진구 초읍동 529-46,35.1790061,129.0563305,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",당감미리내유치원,부산광역시 부산진구 백양순환로18번길 36,부산광역시 부산진구 당감동 689,35.1662387,129.0352533,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",당감초등학교 병설유치원,부산광역시 부산진구 당감로 22-5,부산광역시 부산진구 당감동 271,35.16428339,129.0412435,부산광역시 부산진구청,부산진경찰서,Y,4,,2022-03-18
"유치원",당평초등학교 병설유치원,부산광역시 부산진구 백양대로136번길 26,부산광역시 부산진구 당감동 517,35.16143614,129.0351726,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",동성유치원,부산광역시 부산진구 동성로 26,부산광역시 부산진구 전포동 358-56,35.15268626,129.0695011,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",또래유치원,부산광역시 부산진구 경마장로5번길 71,부산광역시 부산진구 양정동 445-50,35.1707573,129.0632483,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",벽산유치원,부산광역시 부산진구 엄광로 122,부산광역시 부산진구 가야동 669-9,35.14746351,129.0281362,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",부산여대부속유치원,부산광역시 부산진구 진남로 506,부산광역시 부산진구 양정동 74-161,35.16923829,129.0720573,부산광역시 부산진구청,부산진경찰서,Y,1,,2022-03-18
"유치원",부산진유치원,부산광역시 부산진구 범천로 30,부산광역시 부산진구 범천동 890-1,35.1499601,129.0562654,부산광역시 부산진구청,부산진경찰서,Y,3,,2022-03-18
"유치원",빛나라유치원,부산광역시 부산진구 엄광로182번길 15-14,부산광역시 부산진구 가야동 464-84,35.1469879,129.0353397,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"유치원",새동유치원,부산광역시 부산진구 동평로183번길 114,부산광역시 부산진구 연지동 353-9,35.1720278,129.0487216,부산광역시 부산진구청,부산진경찰서,N,,,2022-03-18
"유치원",서면원광유치원,부산광역시 부산진구 시민공원로19번길 62,부산광역시 부산진구 부암동 80-39,35.1661393,129.0515033,부산광역시 부산진구청,부산진경찰서,Y,2,,2022-03-18
