"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",덕양,부산광역시 북구 함박봉로 27,,35.2101964936,129.0225537611,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",덕양초교,부산광역시 북구 함박봉로 42,,35.2092991038,129.0230936760,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",화영,부산광역시 북구 덕천로 80,,35.2088474710,129.0134022839,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",학사초교,부산광역시 북구 용당로15번길 20,,35.2314327983,129.0080647705,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",화잠초교,부산광역시 북구 화명대로 97-25,,35.2359554168,129.0173308287,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",화잠초교병설,부산광역시 북구 화명대로 97-25,,35.2359554168,129.0173308287,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",금창초교,부산광역시 북구 효열로235번길14,,35.2656904598,129.0197455963,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",금창초교병설,부산광역시 북구 효열로235번길14,,35.2656904598,129.0197455963,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",신금초교,부산광역시 북구 효열로42,,35.2508698671,129.0147950054,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",신금초교병설,부산광역시 북구 효열로 42,,35.2508698671,129.0147950054,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",구포초교,부산광역시 북구 백양대로1124번길 20,,35.2027214400,129.0006960865,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",구남초교,부산광역시 북구 구남로14번가길 23,,35.2002922237,128.9935700365,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",만덕초교,부산광역시 북구 만덕1로 72,,35.2150426235,129.0288450055,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",대천리초교,부산광역시 북구 산성로 87-10,,35.2424129026,129.0226389183,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",덕성초교,부산광역시 북구 만덕대로39번길 45,,35.2132191921,129.0079893230,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",덕성초교병설,부산광역시 북구 만덕대로39번길 45,,35.2132191921,129.0079893230,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",백양초교,부산광역시 북구 덕천로 358-1,,35.2090878095,129.0428509968,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",백산초교,부산광역시 북구 덕천로259번길 23,,35.2120043157,129.0327519719,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",덕천초교,부산광역시 북구 덕천2길 10,,35.2084359361,129.0067753773,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",덕천,부산광역시 북구 덕천2길 10,,35.2084359361,129.0067753773,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",화명초교,부산광역시 북구 대천천길 65,,35.2422726937,129.0180730221,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",양천초교,부산광역시 북구 덕천로 132,,35.2095242229,129.0193212362,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"초등학교",포천초교,부산광역시 북구 시랑로 115,,35.1966420605,129.0091030651,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
"유치원",포천초교병설,부산광역시 북구 시랑로 115,,35.1966420605,129.0091030651,부산광역시 북구청,부산북부경찰서,Y,,4-9m,2022-06-07
