"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",이화어린이집,부산광역시 사하구 사하로 74-2(감천동),부산광역시 사하구 감천동 803-17,35.088587,128.994957,부산광역시 사하구청,사하경찰서,N,0,4,2022-03-25
"어린이집",대지어린이집,부산광역시 사하구 감천로 67번길 2(감천동),부산광역시 사하구 감천동 636,35.09070448,128.9996875,부산광역시 사하구청,사하경찰서,N,0,4,2022-03-25
"어린이집",진성어린이집,부산광역시 사하구 오작로88번길 32(괴정동),부산광역시 사하구 괴정동 352-36,35.100464,129.003632,부산광역시 사하구청,사하경찰서,N,0,10,2022-03-25
"어린이집",다대포어린이집,부산광역시 사하구 윤공단로75번길 22(다대동),부산광역시 사하구 다대동 1030-3,35.058683,128.967382,부산광역시 사하구청,사하경찰서,N,0,4,2022-03-25
"어린이집",다대사랑어린이집,부산광역시 사하구 다대로 617(다대동),부산광역시 사하구 다대동 382-3,35.05161376,128.9715644,부산광역시 사하구청,사하경찰서,N,0,15,2022-03-25
"어린이집",기쁜소식어린이집,부산광역시 사하구 다대로381번길 8(다대동),부산광역시 사하구 다대동 93-1,35.068775,128.9789835,부산광역시 사하구청,사하경찰서,N,0,15,2022-03-25
"어린이집",다송어린이집,부산광역시 사하구 다대로429번길 25(다대동),부산광역시 사하구 다대동 120-28,35.063766,128.9817993,부산광역시 사하구청,사하경찰서,N,0,12,2022-03-25
"어린이집",바다어린이집,부산광역시 사하구 다송로68번길 32(다대동),부산광역시 사하구 다대동 1577-1,35.06125808,128.9820814,부산광역시 사하구청,사하경찰서,N,0,7,2022-03-25
"어린이집",햇님어린이집,부산광역시 사하구 승학로 31번길 1(당리동),부산광역시 사하구 당리동 309-5,35.106979,128.972764,부산광역시 사하구청,사하경찰서,Y,1,8,2022-03-25
"어린이집",아트센터어린이집,부산광역시 사하구 제석로 81(당리동),부산광역시 사하구 당리동 45,35.10760057,128.976228,부산광역시 사하구청,사하경찰서,N,0,9,2022-03-25
"어린이집",해뜸어린이집,부산광역시 사하구 장림로 179(장림동),부산광역시 사하구 장림동 668,35.082741,128.968766,부산광역시 사하구청,사하경찰서,N,0,16,2022-03-25
"어린이집",YWCA어린이집,부산광역시 사하구 다대로 277번길 96(장림동),부산광역시 사하구 장림동 26-2,35.075733,128.9810851,부산광역시 사하구청,사하경찰서,N,0,7,2022-03-25
"어린이집",복있는어린이집,부산광역시 사하구 다대로 235(장림동),부산광역시 사하구 장림동 185-18,35.081249,128.977696,부산광역시 사하구청,사하경찰서,N,0,8,2022-03-25
"어린이집",장림(구 사하삼성)어린이집,부산광역시 사하구 장림번영로28번길 33(장림동),부산광역시 사하구 장림동 615-21,35.079165,128.9679306,부산광역시 사하구청,사하경찰서,N,0,6,2022-03-25
"어린이집",무지개어린이집,부산광역시 사하구 하신중앙로3번길 34(장림동),부산광역시 사하구 장림동 971-3,35.07849421,128.9615817,부산광역시 사하구청,사하경찰서,N,0,6,2022-03-25
"어린이집",하단어린이집,부산광역시 사하구 괴정로 6(하단동),부산광역시 사하구 하단동 608-14,35.103943,128.9650945,부산광역시 사하구청,사하경찰서,N,0,7,2022-03-25
