"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"특수학교",혜송학교,부산광역시 서구 천마로50번길 1,부산광역시 서구 남부민동 611-43,35.08187619,129.0225205,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"초등학교",부민초등학교,부산광역시 서구 고운들로 12,부산광역시 서구 부용동2가 11,35.10597015,129.0199224,부산광역시 서구,서부경찰서,Y,1,6~20,2022-02-17
"유치원",놀이아유치원,부산광역시 서구 부용로32번길 9,부산광역시 서구 부용동2가 39,35.10746281,129.018361,부산광역시 서구,서부경찰서,N,,8~12,2022-02-17
"유치원",내원정사유치원,부산광역시 서구 대신공원로 32,부산광역시 서구 서대신동3가 6-1,35.1200013,129.0187421,부산광역시 서구,서부경찰서,N,,4~10,2022-02-17
"유치원",노틀담유치원,부산광역시 서구 임시수도기념로 61-32,부산광역시 서구 부민동3가 22,35.10275932,129.0168341,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"유치원",영락유치원,부산광역시 서구 대청로 8,부산광역시 서구 부민동1가 22-1,35.10312312,129.020921,부산광역시 서구,서부경찰서,N,,6~20,2022-02-17
"초등학교",아미초등학교,부산광역시 서구 해돋이로 241,부산광역시 서구 아미동2가 89,35.09811433,129.0163118,부산광역시 서구,서부경찰서,N,,6~12,2022-02-17
"초등학교",남부민초등학교,부산광역시 서구 천마로 153,부산광역시 서구 남부민동 76,35.08941809,129.0233338,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"초등학교",대신초등학교,부산광역시 서구 대신로 63,부산광역시 서구 서대신동3가 195,35.11618072,129.0117821,부산광역시 서구,서부경찰서,N,,4~20,2022-02-17
"초등학교",화랑초등학교,부산광역시 서구 대영로86번길 56,부산광역시 서구 동대신동1가 348,35.10824222,129.0205048,부산광역시 서구,서부경찰서,N,,6~30,2022-02-17
"초등학교",동신초등학교,부산광역시 서구 대영로85번길 81-19,부산광역시 서구 동대신동3가 315,35.11386005,129.017591,부산광역시 서구,서부경찰서,Y,1,6~25,2022-02-17
"초등학교",천마초등학교,부산광역시 서구 천해로7번길 38,부산광역시 서구 암남동 81-11,35.081681,129.0182396,부산광역시 서구,서부경찰서,N,,6~12,2022-02-17
"어린이집",아동종합보호센터,부산광역시 서구 까치고개로 183,부산광역시 서구 아미동2가 127,35.10019443,129.0158674,부산광역시 서구,서부경찰서,N,,6~20,2022-02-17
"유치원",남부민초등학교 병설유치원,부산광역시 서구 천마로 153,부산광역시 서구 남부민동 76,35.08941809,129.0233338,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"유치원",동신초등학교 병설유치원,부산광역시 서구 대영로85번길 81-19,부산광역시 서구 동대신동3가 315,35.11386005,129.0175903,부산광역시 서구,서부경찰서,Y,1,6~25,2022-02-17
"유치원",마리아유치원,부산광역시 서구 구덕로333번길 36,부산광역시 서구 서대신동3가 319,35.11318735,129.0142573,부산광역시 서구,서부경찰서,N,,6~15,2022-02-17
"유치원",푸른유치원,부산광역시 서구 남부민로 34,부산광역시 서구 남부민동 300,35.08439865,129.0232186,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"초등학교",토성초등학교,부산광역시 서구 구덕로134번길 45,부산광역시 서구 토성동2가 25,35.09924271,129.0212827,부산광역시 서구,서부경찰서,Y,1,8~20,2022-02-17
"초등학교",송도초등학교,부산광역시 서구 충무대로 25,부산광역시 서구 암남동 313,35.07835411,129.0160446,부산광역시 서구,서부경찰서,Y,1,4~15,2022-02-17
"초등학교",구덕초등학교,부산광역시 서구 보수대로 312,부산광역시 서구 서대신동3가 41-1,35.120431,129.0125312,부산광역시 서구,서부경찰서,Y,1,4~25,2022-02-17
"어린이집",가람어린이집,부산광역시 서구 해돋이로 420,부산광역시 서구 서대신동2가 500-61,35.108271,129.009521,부산광역시 서구,서부경찰서,N,,4~12,2022-02-17
"어린이집",천마어린이집,부산광역시 서구 천해로13번길 58,부산광역시 서구 남부민동 609-208,35.082031,129.0178683,부산광역시 서구,서부경찰서,N,,6~12,2022-02-17
"초등학교",알로이시오초등학교,부산광역시 서구 천해로13번길 16-9,부산광역시 서구 암남동 2-18,35.08331635,129.0163674,부산광역시 서구,서부경찰서,Y,1,5~12,2022-02-17
"유치원",토성초등학교,부산광역시 서구 구덕로134번길 45,부산광역시 서구 토성동2가 25,35.09924271,129.0212827,부산광역시 서구,서부경찰서,Y,1,8~20,2022-02-17
