"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",태양,부산광역시 연제구 고분로248번길55,부산광역시 연제구 연산동486-29(태양어린이집),35.18200582,129.109424,부산광역시 연제구청,연제경찰서,N,,8,2022-04-06
"특수학교",동암학교,부산광역시 연제구 톳고개로50,부산광역시 연제구 연산동10-51,35.18098633,129.1018281,부산광역시 연제구청,연제경찰서,N,,9,2022-04-06
"유치원",과정,부산광역시 연제구 좌수영로291,부산광역시 연제구 연산동149-11(부산제일교회),35.1876157,129.1102404,부산광역시 연제구청,연제경찰서,N,,6,2022-04-06
"어린이집",소담,부산광역시 연제구 배산북로22,부산광역시 연제구 연산동2129-13,35.17555859,129.0939934,부산광역시 연제구청,연제경찰서,Y,3,6,2022-04-06
"어린이집",하나둘,부산광역시 연제구 여고로14번길47,부산광역시 연제구 거제동894-13,35.19281527,129.0663233,부산광역시 연제구청,연제경찰서,N,,6,2022-04-06
"초등학교",연동초교,부산광역시 연제구 고분로56번길40,부산광역시 연제구 연산동799(연동초등학교),35.18393352,129.0884693,부산광역시 연제구청,연제경찰서,Y,2,8,2022-04-06
"초등학교",연신초교,부산광역시 연제구 신금로23번길30,부산광역시 연제구 연산동302-1(연신초등학교),35.19248197,129.0931582,부산광역시 연제구청,연제경찰서,Y,1,10,2022-04-06
"초등학교",거제초교,부산광역시 연제구 해맞이로39,부산광역시 연제구 거제동676-152(거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2022-04-06
"유치원",거제초교병설,부산광역시 연제구 해맞이로39,부산광역시 연제구 거제동676-152(거제초등학교),35.1780756,129.0675687,부산광역시 연제구청,연제경찰서,N,,10,2022-04-06
"초등학교",창신초교,부산광역시 연제구 종합운동장로12번길15,부산광역시 연제구 거제동897-3(창신초등학교),35.19281042,129.0658511,부산광역시 연제구청,연제경찰서,N,2,10,2022-04-06
"초등학교",과정초교,부산광역시 연제구 과정로164번길37,부산광역시 연제구 연산동473-1(과정초등학교),35.18673135,129.1103491,부산광역시 연제구청,연제경찰서,N,,8,2022-04-06
"초등학교",연미초교,부산광역시 연제구 금련로38번길84,부산광역시 연제구 연산동1824-60(연미초등학교),35.17070845,129.0921169,부산광역시 연제구청,연제경찰서,N,,5,2022-04-06
"초등학교",연일초교,부산광역시 연제구 고분로126-4,부산광역시 연제구 연산동1016(연일초등학교),35.18431629,129.0954502,부산광역시 연제구청,연제경찰서,Y,1,8,2022-04-06
"특수학교",두레학교,부산광역시 연제구 고분로123번길13-7,부산광역시 연제구 연산동1030-1(부산두레학교),35.18680312,129.0959557,부산광역시 연제구청,연제경찰서,N,,5,2022-04-06
"초등학교",연산초교,부산광역시 연제구 월드컵대로41,부산광역시 연제구 연산동774-1(연산초등학교),35.17826118,129.0841247,부산광역시 연제구청,연제경찰서,N,,6,2022-04-06
"초등학교",연제초교,부산광역시 연제구 중앙대로1065번길14,부산광역시 연제구 연산동1300(연제초등학교),35.18405049,129.0778797,부산광역시 연제구청,연제경찰서,Y,2,6,2022-04-06
