"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",다솜어린이집,부산광역시 영도구 함지로79번길 76,부산광역시 영도구 동삼동 510-9,35.0759734,129.065522,부산광역시 영도구청,영도경찰서,Y,1,9,2022-04-15
"어린이집",영지어린이집,부산광역시 영도구 와치로 2-13,부산광역시 영도구 청학동 466-2,35.08991805,129.057659,부산광역시 영도구청,영도경찰서,Y,1,8,2022-04-15
"어린이집",와치어린이집,부산광역시 영도구 청학서로 11,부산광역시 영도구 청학동 416-1,35.0920368,129.0570901,부산광역시 영도구청,영도경찰서,Y,2,7,2022-04-15
"유치원",꿈나무유치원,부산광역시 영도구 남항새싹길 79,부산광역시 영도구 영선동4가 245-1,35.08232583,129.0440672,부산광역시 영도구청,영도경찰서,Y,2,6~10,2022-04-15
"유치원",복자유치원,부산광역시 영도구 태종로 340,부산광역시 영도구 청학동 196,35.09543187,129.0621922,부산광역시 영도구청,영도경찰서,Y,1,14,2022-04-15
"유치원",봉학병설유치원,부산광역시 영도구 태종로 242,부산광역시 영도구 청학동 389-53,35.09553575,129.0550151,부산광역시 영도구청,영도경찰서,Y,2,9.8~13.1,2022-04-15
"유치원",선암사유치원,부산광역시 영도구 본산로 37,부산광역시 영도구 동삼동 797-9,35.06647691,129.0773082,부산광역시 영도구청,영도경찰서,N,0,6,2022-04-15
"유치원",영도중앙유치원,부산광역시 영도구 하나길 760,부산광역시 영도구 봉래동5가 155-13,35.0928143,129.0505907,부산광역시 영도구청,영도경찰서,Y,1,12,2022-04-15
"유치원",영일유치원,부산광역시 영도구 꿈나무길 41,부산광역시 영도구 신선동1가 100,35.0901479,129.0462301,부산광역시 영도구청,영도경찰서,Y,1,6~10,2022-04-15
"유치원",자비유치원,부산광역시 영도구 일산봉로 49,부산광역시 영도구 청학동 84-1,35.0863987,129.0645618,부산광역시 영도구청,영도경찰서,Y,1,8,2022-04-15
"유치원",조아라유치원,부산광역시 영도구 와치로 235,부산광역시 영도구 동삼동 510-3,35.07587367,129.0674351,부산광역시 영도구청,영도경찰서,Y,1,7.5~9,2022-04-15
"유치원",초롱유치원,부산광역시 영도구 절영로 494,부산광역시 영도구 동삼동 654-1,35.0713408,129.070142,부산광역시 영도구청,영도경찰서,Y,1,11,2022-04-15
"유치원",태종대병설유치원,부산광역시 영도구 태종로802번길 38,부산광역시 영도구 동삼동 962,35.06585062,129.0791469,부산광역시 영도구청,영도경찰서,Y,1,8,2022-04-15
"유치원",한성유치원,부산광역시 영도구 함지로 43,부산광역시 영도구 동삼동 1124-8,35.0718448,129.0629512,부산광역시 영도구청,영도경찰서,Y,1,11,2022-04-15
"유치원",한마음유치원,부산광역시 영도구 함지로79번길 23-26,부산광역시 영도구 동삼동 522-1,35.07402808,129.0629907,부산광역시 영도구청,영도경찰서,N,0,9.5~13,2022-04-15
"초등학교",남항초등학교,부산광역시 영도구 남항새싹길 55,부산광역시 영도구 영선동4가 247,35.08366836,129.0431184,부산광역시 영도구청,영도경찰서,Y,2,10,2022-04-15
"초등학교",대교초등학교,부산광역시 영도구 봉래나루로246번길 19,부산광역시 영도구 봉래동4가 18,35.09469394,129.0457531,부산광역시 영도구청,영도경찰서,Y,2,7~28,2022-04-15
"초등학교",대평초등학교,부산광역시 영도구 절영로 82,부산광역시 영도구 남항동2가 65-9,35.08753561,129.0388823,부산광역시 영도구청,영도경찰서,Y,4,8~15,2022-04-15
"초등학교",동삼초등학교,부산광역시 영도구 태종로 610,부산광역시 영도구 동삼동 258,35.0798259,129.0734678,부산광역시 영도구청,영도경찰서,Y,3,6~12,2022-04-15
"초등학교",봉삼초등학교,부산광역시 영도구 함지로79번길 39,부산광역시 영도구 동삼동 510-8,35.07479599,129.0636195,부산광역시 영도구청,영도경찰서,Y,1,9,2022-04-15
"초등학교",봉학초등학교,부산광역시 영도구 태종로 242,부산광역시 영도구 청학동 389-53,35.09553575,129.0550151,부산광역시 영도구청,영도경찰서,Y,2,9.8~13.1,2022-04-15
"초등학교",상리초등학교,부산광역시 영도구 상리로 38,부산광역시 영도구 동삼동 1123-11,35.08394705,129.0670776,부산광역시 영도구청,영도경찰서,Y,1,15,2022-04-15
"초등학교",신선초등학교,부산광역시 영도구 산정길 17,부산광역시 영도구 신선동3가 76-6,35.08361799,129.0475357,부산광역시 영도구청,영도경찰서,Y,3,8~11,2022-04-15
"초등학교",영도초등학교,부산광역시 영도구 꿈나무길 41,부산광역시 영도구 신선동1가 100,35.09012623,129.0462135,부산광역시 영도구청,영도경찰서,Y,1,6~10,2022-04-15
"초등학교",절영초등학교,부산광역시 영도구 함지로 37,부산광역시 영도구 동삼동 1124-5,35.07286285,129.0630068,부산광역시 영도구청,영도경찰서,Y,1,11,2022-04-15
"초등학교",중리초등학교,부산광역시 영도구 와치로 286,부산광역시 영도구 동삼동 454-34,35.07420086,129.0701947,부산광역시 영도구청,영도경찰서,Y,1,7~11,2022-04-15
"초등학교",청동초등학교,부산광역시 영도구 태종로422번길 51,부산광역시 영도구 청학동 71-1,35.08812016,129.0673539,부산광역시 영도구청,영도경찰서,Y,3,5~12.5,2022-04-15
"초등학교",청학초등학교,부산광역시 영도구 청학로 49,부산광역시 영도구 청학동 412-3,35.09320301,129.0595046,부산광역시 영도구청,영도경찰서,Y,3,6~10,2022-04-15
"초등학교",태종대초등학교,부산광역시 영도구 태종로802번길 38,부산광역시 영도구 동삼동 962,35.06585062,129.0791469,부산광역시 영도구청,영도경찰서,Y,1,8,2022-04-15
