"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"초등학교",남성초등학교,부산광역시 중구 샘길 14,부산광역시 중구 대청동1가 10,35.10571479,129.0344121,부산광역시 중구청,부산중부경찰서,Y,5,3~20,2022-03-17
"초등학교",보수초등학교,부산광역시 중구 흑교로 74,부산광역시 중구 보수동1가 50-1,35.10607045,129.0242806,부산광역시 중구청,부산중부경찰서,Y,3,5~20,2022-03-17
"초등학교",광일초등학교,부산광역시 중구 중구로 74,부산광역시 중구 대청동4가 95,35.10400525,129.0298609,부산광역시 중구청,부산중부경찰서,Y,2,4~14,2022-03-17
"초등학교",봉래초등학교,부산광역시 중구 대영로226번길 15,부산광역시 중구 영주동 582-2,35.11139656,129.0355679,부산광역시 중구청,부산중부경찰서,Y,3,4~15,2022-03-17
"어린이집",노틀담어린이집,부산광역시 중구 망양로 309,부산광역시 중구 대청동4가 75-7,35.10578438,129.0282389,부산광역시 중구청,부산중부경찰서,Y,1,8~10,2022-03-17
"어린이집",대청어린이집,부산광역시 중구 망양로383번안길 25,부산광역시 중구 영주동222-2,35.11033945,129.0293914,부산광역시 중구청,부산중부경찰서,Y,1,7.5,2022-03-17
"어린이집",아기산새어린이집,부산광역시 중구 임소길 26,부산광역시 중구 영주동 467-163,35.11152816,129.0328821,부산광역시 중구청,부산중부경찰서,Y,4,7,2022-03-17
"어린이집",영주어린이집,부산광역시 중구 망양로 396,부산광역시 중구 영주동 160,35.11186507,129.0295565,부산광역시 중구청,부산중부경찰서,Y,1,7~8,2022-03-17
"어린이집",다사랑어린이집,부산광역시 중구 보수대로140번길 61,부산광역시 중구 보수동1가 48-2,35.10618152,129.024695,부산광역시 중구청,부산중부경찰서,Y,1,5,2022-03-17
"유치원",명성유치원,부산광역시 중구 영주로24번길 5-1,부산광역시 중구 영주동 284-3,35.1101585,129.0313492,부산광역시 중구청,부산중부경찰서,Y,1,6,2022-03-17
"유치원",숲속리더유치원,부산광역시 중구 책방골목길 17-12,부산광역시 중구 보수동1가 145-19,35.10376001,129.0272895,부산광역시 중구청,부산중부경찰서,Y,2,6~8,2022-03-17
"유치원",광일초등학교병설유치원,부산광역시 중구 중구로 74,부산광역시 중구 대청동4가 95,35.10400525,129.0298609,부산광역시 중구청,부산중부경찰서,Y,2,4~5,2022-03-17
"유치원",봉래초등학교병설유치원,부산광역시 중구 대영로226번길 15,부산광역시 중구 영주동 582-2,35.11139656,129.0355679,부산광역시 중구청,부산중부경찰서,Y,3,4~15,2022-03-17
