"시설종류",대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
"어린이집",YMCA어린이집,부산광역시 해운대구 아랫반송로1번길 15,부산광역시 해운대구 반송동 697-2,35.22639867,129.146931,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6~12,2022-03-21
"유치원",강동유치원,부산광역시 해운대구 해운대로349번길 10,부산광역시 해운대구 우동 1113,35.17232058,129.1367468,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,11,2022-03-21
"초등학교",강동초교,부산광역시 해운대구 해운대로349번길 10,부산광역시 해운대구 우동 1113,35.17232058,129.1367468,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,11,2022-03-21
"유치원",고은유치원,부산광역시 해운대구 세실로 30,부산광역시 해운대구 좌동 1317,35.16844975,129.1793923,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,9,2022-03-21
"어린이집",광덕자연어린이집,부산광역시 해운대구 청사포로67번길 1-9,부산광역시 해운대구 중동 468,35.16340686,129.187399,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,4~8.5,2022-03-21
"유치원",대동유치원,부산광역시 해운대구 대천로 100,부산광역시 해운대구 좌동 877-2,35.17436016,129.1734349,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,7.5,2022-03-21
"유치원",대림유치원,부산광역시 해운대구 대천로103번길 47,부산광역시 해운대구 좌동 1396,35.17931267,129.1740453,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12~12.5,2022-03-21
"유치원",대우사랑유치원,부산광역시 해운대구 좌동순환로 275,부산광역시 해운대구 좌동 1438,35.17245382,129.1832262,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,12.5~16,2022-03-21
"유치원",더푸른유치원,부산광역시 해운대구 좌동순환로433번길 30-3,부산광역시 해운대구 중동 1519-1,35.164107,129.181538,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,11~21,2022-03-21
"어린이집",동백어린이집,부산광역시 해운대구 해운대로469번길 80,부산광역시 해운대구 우동 934,35.16672302,129.1434569,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,9,2022-03-21
"초등학교",동백초교,부산광역시 해운대구 좌동순환로357번길 6,부산광역시 해운대구 중동 1518-1,35.16401932,129.1812186,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6.7~21,2022-03-21
"유치원",동부산대부속유치원,부산광역시 해운대구 운봉길 60,부산광역시 해운대구 반송동 640-5,35.23274266,129.1490281,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6.5~7,2022-03-21
"유치원",동성제일유치원,부산광역시 해운대구 해운대로349번길 24,부산광역시 해운대구 우동 1104-1,35.17492815,129.1397257,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,8~11,2022-03-21
"어린이집",동해어린이집,부산광역시 해운대구 송정2로 67,부산광역시 해운대구 송정동 84-4,35.194419,129.2068977,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6~6.5,2022-03-21
"어린이집",롯데크로바어린이집,부산광역시 해운대구 해운대로483번길 10,부산광역시 해운대구 우동 938,35.16344479,129.1476198,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,4.5~6.5,2022-03-21
"유치원",마리나유치원,부산광역시 해운대구 해운대해변로 139,부산광역시 해운대구 우동 1388-5,35.15963575,129.1475636,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,10,2022-03-21
"초등학교",무정초교,부산광역시 해운대구 반여로 68-11,부산광역시 해운대구 반여동 1651,35.19815569,129.1237797,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,5~17,2022-03-21
"초등학교",반산초교,부산광역시 해운대구 재반로 171,부산광역시 해운대구 재송동 1033-1,35.19344259,129.1296332,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,6~11,2022-03-21
"유치원",반산초교 병설유치원,부산광역시 해운대구 재반로 171,부산광역시 해운대구 재송동 1033-1,35.19344259,129.1296332,부산광역시 해운대구,부산광역시 해운대경찰서,Y,,6~11,2022-03-21
"초등학교",반석초교,부산광역시 해운대구 선수촌로207번길 14,부산광역시 해운대구 반여동 757-1,35.211403,129.1249812,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,5~13,2022-03-21
"어린이집",반송1동어린이집,부산광역시 해운대구 반송순환로 129,부산광역시 해운대구 반송동 250-2831,35.2225022,129.1528783,부산광역시 해운대구,부산광역시 해운대경찰서,Y,2,10,2022-03-21
"초등학교",반송초교,부산광역시 해운대구 아랫반송로30번길 37-16,부산광역시 해운대구 반송동 250-8,35.22358136,129.1475257,부산광역시 해운대구,부산광역시 해운대경찰서,Y,3,4~10,2022-03-21
"초등학교",반안초교,부산광역시 해운대구 명장로67번길 40-42,부산광역시 해운대구 반여동 1164-6,35.20296503,129.113229,부산광역시 해운대구,부산광역시 해운대경찰서,Y,1,6~12,2022-03-21
